Index,Word,Meaning,Synonyms,Conjugation,Searched,Unnamed: 6,,,,,,
1,a!,sauti anayoitoa mtu anaposhangaa | sauti anayotoa mtu kuonyesha dharau,,,,Edit Word Delete Word Create a Question,,,,,,
2,aa!,neno linalotumika kuonyesha kutoridhika| tazama ahaa!,,,,Edit Word Delete Word Create a Question,,,,,,
4,aa!,"ni neno la kuonyesha mshangao,furaha au kukubali:ahaa! | neno la kuonyesha uchungu: aa! | neno la kuonyesha kukataa",,,,Edit Word Delete Word Create a Question,,,,,,
5,aalam,(Mungu) mwenye kujua zaidi: Allahu ya aalam,,,,Edit Word Delete Word Create a Question,,,,,,
6,aali,hali ya juu : Almasi ni madini aali.,"aula, bora, adhimu",,,Edit Word Delete Word Create a Question,,,,,,
7,aalimu,mtu aliyebobea katika elimu ya dini ya Kiislamu,"mtaalamu, mufti",,,Edit Word Delete Word Create a Question,,,,,,
8,aalimu,mwenye elimu kubwa ya dini ya Kiislamu,,,,Edit Word Delete Word Create a Question,,,,,,
9,aathari,"mabaki (yatokanayo) na vitu vya zamani vinavyohusiana na mila, utamaduni na desturi za watu wa jamii fulani kwa mfano: makaburi ya wafalme, nyumba, mahekalu, vigae vya vitu vya ufinyanzi na kadhalika",,,,Edit Word Delete Word Create a Question,,,,,,
10,aazi,mtu wa thamani,"mwandani, muhibu",,,Edit Word Delete Word Create a Question,,,,,,
11,aazi,-enye thamani : Fursa niliyopewa ni kitu aazi kwangu.,bora,,,Edit Word Delete Word Create a Question,,,,,,
12,abaa!,neno linalojenga usikivu wa yule unayemwita,"aisee, halo, oha",,,Edit Word Delete Word Create a Question,,,,,,
13,abadani,neno la kusisitiza jambo lililotajwa ambalo limekanushwa : Sitakuja kwako abadani.,"hata kidogo, katakata, kamwe, asilani, katu",,,Edit Word Delete Word Create a Question,,,,,,
14,abadi,neno linaloonyesha kutokoma kwa muda : Anaishi hapa abadi.,"daima, milele",,,Edit Word Delete Word Create a Question,,,,,,
15,abakusi,kifaa chenye shanga au vihesabio vilivyotungwa kwenye nyuzi au nyaya kwa ajili ya kuhesabia,,,,Edit Word Delete Word Create a Question,,,,,,
16,abdi,"mlimwengu, mja wa Mwenyezi Mungu",abidi,,,Edit Word Delete Word Create a Question,,,,,,
17,abedari,roda inayotumiwa kuvutia vitu kwenye jahazi,kapi,,,Edit Word Delete Word Create a Question,,,,,,
18,abedari,neno linalotumika kumtahadharisha mtu,"simile!, kaa chonjo!",,,Edit Word Delete Word Create a Question,,,,,,
19,abee!,neno la kuitikia wito litumiwalo na wanawake wanapoitwa,"bee!, beka!",,,Edit Word Delete Word Create a Question,,,,,,
